movie_name,description,director
Fargo,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,85,1K, had ,,"I hesitate to call this a comedy film. I found parts of it funny but more in the way that Wes Anderson films are dainty rather than laugh-out-loud funny. The storyline features a clueless and bumbling car salesman attempting a hare-brained scheme with equally incompetent criminals, all juxtaposed a disarmingly mundane and friendly Midwest setting. The stand-out feature of this film is the acting, as the characters are all perfect depictions of those who simply cannot get anything right! I see more inspiration from old screwball films than traditional crime dramas. After a spate of Martin Scorsese films, Heat and Scarface, the easygoing style of this film was a breath of fresh air.","William H. Macy,Frances McDormand,Steve Buscemi","$7,000,000 (estimated)"
Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,71,813," tore his MCL in the cage during production, halting fight scenes for six weeks. ",,"Grab your popcorn, buy your soda..and get ready for a great movie.,From start to finish, this movie will have you hooked. There is no weak spot in this movie. The acting is amazing. The story is great. The music is catchy. You will get emotionally invested throughout this story.,This movie will make you FEEL something. This movie will ENTERTAIN you.,This film has great drama, action, and story. I walked out of the movie being so impressed, and in shock how this hadn't gotten more attention or done better at the box office.,This movie is a MUST SEE. And I'm pretty picky. Enjoy.","Tom Hardy,Nick Nolte,Joel Edgerton","$25,000,000 (estimated)"
Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,83,685,"Although it looks thoroughly off-putting, the feces in the Worst Toilet in Scotland scene was actually made from chocolate and smelled quite pleasant.",,"Danny Boyle's ""Trainspotting"" is a film in which everything goes the right way. Few films are fortunate to 'be' at the right time and right place and take the world by storm as ""Trainspotting"" did, but the ultimate proof of this film's greatness is that if you watched it alone or with a large group of people, in 2008 or in 1996, it has the same effect- absolute power. This film is nothing more- or less- than one of the most effective and perfect artistic works ever committed to celluloid.,The film follows the lives of a group of drug attics in Scotland in the late 1980's but is constructed less as a conventional narrative and more as a series of vignettes connected by characters and set to the film's dazzling soundtrack (the fact that I mention the scenes being 'set' to the soundtrack is proof of its importance in this particular film). Almost every scene is as powerful as the next, with three montages in particular being possibly the definitive examples of how to do a memorable cinematic montage.,Pop culture has been kind to ""Trainspotting"", remembering it as a unique and great film, especially in Britain. I certainly do not disagree with this consensus, but I feel the film has been hurt by familiarity, with even television series like ""Family Guy"" parodying the film's well-known scenes (and badly). This doesn't mean that the film's popularity is being hurt, but that it doesn't feel as fresh and original to people now as it did back in 1996. This is hardly the thing the film's reputation suffers most from however, with the significantly large number of people who claim the film supports and promotes drug use. I have to ask, and forgive my rudeness, how stupid can you possibly be? No, drug addicts in this film are not vilified, but they are consistently shown in a brutally realistic and horrifically tragic context, and just because the film doesn't go out of its way to emotionally manipulate you into completely hating its characters doesn't mean that it promotes drug use, it means that it's a knowing film careful enough not to become a sappy, melodramatic Hollywood product. ,The acting is phenomenal, the music is terrific, the film is a pitch-perfect example of energizing editing and brilliant use of montage, and its script is one of the best ever written, alternately hilarious, horrifying, tragic, and benefiting from a rare level of depth and resonance. A British classic is what Trainspotting is recognized as, and a British classic is what it is. ,10/10","Ewan McGregor,Ewen Bremner,Jonny Lee Miller","£1,500,000 (estimated)"
"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,88,1.3K,The sequence where Dixon assaults Red Welby and throws him out the window was done in one continuous take. According to director ,,"Original, deep and thought provoking films like this one are hard to come by these days. 'Three Billboards Outside Ebbing, Missouri' takes a completely different approach to the conventional crime drama. Instead of detailing the story behind the missing girl, the focus is instead of the mother's way of dealing with the disappearance and how she handles her grief and anger towards the authorities.,This film is excellent in just about every area. The script is intelligent and surprisingly funny, the storyline engaging and convincing, and the acting is first rate. Frances McDormand is outstanding in the lead and thoroughly deserved her Oscar.,'Three Billboards' is a unique and fascinating film, great filmmaking all-round and highly recommended.","Frances McDormand,Woody Harrelson,Sam Rockwell","$15,000,000 (estimated)"
The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",David Lean,87,377,"At one point during filming, director Sir ",,"In my opinion, David Lean is one of the cinema's greatest directors, in the highest pantheon along with the likes of Kurosawa, Welles, De Sica, and Bergman. Lean's ""Lawrence of Arabia"" and his vastly underrated ""A Passage to India"" are unmitigated masterpieces, and some of his 'smaller' films, such as ""Summertime,"" ""Great Expectations,"" and ""Brief Encounter"" are true gems.,""The Bridge on the River Kwai"" should justly be grouped with ""Lawrence"" and ""India,"" as all three are sweeping in scope, and all three are some of the most thematically ambitious films ever made, reflecting a mature filmmaker at the peak of his craft. Like ""Lawrence,"" ""Kwai"" does not flinch for a moment while it forces the viewer to gaze deep into the chasm of the human condition, and it is not an easy film to take in, as it presents us with profoundly symbolic (archetypal, you might say) character types, most of whom elicit both admiration and repulsion, sympathy and frustration. And while the film explores these character themes at length, it is ultimately content to leave the conflicts unresolved, happy simply to present us with the Hamlet-like paradoxes that are the human condition in all its glory and stupidity.,If there is any clear, unequivocal message that can be gleaned from ""Kwai,"" it is an ode in praise of stoic virtue and the struggle for dignity and meaning in the face of a hostile universe-- in this case, in the face of an inhuman and absurd war. However, ironically, it is in this very aspect that the film, in my opinion, has its greatest failing. In retrospect, it would seem that in order to distill the film's philosophical elements down to universal themes, and perhaps in order to make the story palatable to 1950s audiences (and more Oscar-worthy?), the film greatly tones down the very inhumanity of the historical situation it portrays. In reality, the Japanese were perfectly capable of engineering their own bridges and, far more importantly, the building of the Burma-Thailand Railroad was an atrocity so vast and inhuman that it can only be rightly compared with the Nazi Holocaust and the Khmer Rouge Genocide. The true ""stiff upper lip"" displayed by the surviving prisoners-of-war from that hell in the jungle was not an insistence that a bridge be built right if it is to be built at all, etc.; the true ""stiff upper lip"" was mere survival itself, as thousands upon thousands were dying of starvation, overwork, constant beatings, summary executions, disease and exposure. While it is true that not every film about war needs to be ""Shoah,"" ""Schindler's List,"" or ""The Killing Fields,"" and ""Kwai"" should be viewed on its own terms, as a film solely about the themes and characters it has chosen to depict; nevertheless, by so greatly downplaying the horrors of the actual historical situation it portrays, the film ultimately does a great disservice to the hundreds of thousands of people of several nationalities who suffered and died in the building of this monstrosity of a railroad. While it seems to me that the intentions of the filmmakers were noble, that Lean sought to explore the struggle of the human spirit under the greatest adversity, the film's light treatment of the still-seldom-discussed topic of Japanese war crimes inadvertently trivializes that very struggle.,Nonetheless, I still feel that ""Kwai"" is an amazing cinematic achievement in its own right. And while it would only be with heavy reservation that I place it on a list of ""greatest films,"" it does manage to squeak onto my hypothetical Top 100.","William Holden,Alec Guinness,Jack Hawkins","$3,000,000 (estimated)"
Howl's Moving Castle,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,80,561,Upon seeing ,,"In a time of war and falsity here it is a dancing poetry from Japan against all the cruelty and pain. The moving castle leads us to a magic place where life has a strong value and elderly people have an important role to play. Also in an apparent hostility or in a scarecrow, Hayao Miyazaki gives us the chance of finding a friend and not letting the dream go down. The perfect technique and the emotional stream are in complete harmony. If the jury of the Venice Film Festival had been more far-seeing, it would have given a more prestigious prize to this masterpiece.","Chieko Baishô,Takuya Kimura,Tatsuya Gashûin","$24,000,000 (estimated)"
The Secret in Their Eyes,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,80,344,"Director Juan José Campanella was not happy with the English translation of the title. The original title was intentionally ambiguous, since the Spanish word ""sus"" could mean ""their"", but also ""his"" or ""her"".",,"Simply put, this is one of the finest films I've ever seen. I don't say that lightly, I don't exaggerate when it comes to talking about movies -- but everything about this one, from the acting to the writing, to the camera work, to the directorial decisions, is grade A. The story deals with deep matters, and it does so one step at a time, with a plot that moves steadily forward, gathering force, substance and intensity, not settling for easy answers or plot points, not cutting corners. The characters are complicated, interesting, believable, flawed, funny, tragic and deeply human.,I prefer not to get specific about what happens -- I mostly want to try to get across the quality of this bugger. So I'll say it again: it's one of the best films I've ever seen, as good as anything out there. If there's any justice, a lot of people will see it.","Ricardo Darín,Soledad Villamil,Pablo Rago","$2,000,000 (estimated)"
Dial M for Murder,A former tennis star arranges the murder of his adulterous wife.,Alfred Hitchcock,75,418,Sir ,,"There is a lot to admire about Alfred Hitchcock's ""Dial M for Murder,"" and I do hold the film with a great deal of admiration and respect. However, what I adore about the movie the most (more than the cinematography, the suspense, the acting, and even the direction) is the work by screenwriter Frederick Knott. Mr. Knott based the screenplay for ""Dial M for Murder"" on his successful stage production, which I have never seen, but am told contains almost all of the words we hear in the film. And the words are music to the ears. They sing with intelligence, wit that Mr. Hitchcock certainly found attractive, and, best of all, an easy transition to the screen. Many times when a stage production goes to film, as far as I am concerned, the results, even if good, are uneven. Frequently, the dialogue and restricted set space allowed tend to give off the impression of a filmed play, not a cinematic experience. Another Hitchcock film, 1948's ""Rope,"" though valiant, interesting, and successful, attempted this and suffered from this difficult struggle.,But the dialogue, put on film here, is exceptional. I write this review having seen ""Dial M for Murder"" two or three times and wanting to see it once again. Many reviewers, myself included, have tried watching films with the sound off. I want to try the opposite. I want to close my eyes and just listen to the dialogue because it's so strong. The MacGuffin conversation at the beginning, with a perfectly cast Ray Milland blackmailing a perfectly cast Anthony Dawson into murdering a perfectly cast Grace Kelly is brilliantly written by Mr. Knott. It was clearly from a stage production, as it explains the plot background in great detail, and goes on for the better part of twenty minutes. Both men are fleshed out, giving us their personalities and individual tendencies. And even though ""Dial M for Murder"" pretty much stays on just one small set (an apartment in London, in which we see mostly the foyer, a little of the bedroom, and just a glimpse of the kitchen), what happens there is so fascinating that we do not really want to venture out into the city.,And that is just the setup. The dialogue remains insistently interesting and clever throughout the picture. It also has that subtle, dark sense of humor that Alfred Hitchcock was keen on. It also has the ironic touches, such as when Mr. Milland, as the jealous husband, kisses his unfaithful wife on the night she is to be murdered, and tells her: ""Goodbye, my dear."" The audience, having been given every single little detail about the scheme and how it is to unfold, cringes with a dark realization that Mr. Hitchcock might just go through with Mr. Milland's plot. Mr. Hitchcock, as the director, is also due tremendous credit for his trademark of creating tension. Screenwriter Knott brilliantly lays out for the audience, not the victim, how the murder will go through, but Mr. Hitchcock's camera dutifully follows everything as the scheme goes along. And, before we realize it, if something starts to go wrong, we become scared and tense. And you can imagine my guilt when I realized I was feeling scared that a plan to murder someone just might not go through. It's Mr. Hitchcock's gift at work.,Dimitri Tiomkin, a very good film composer, hits all the write notes; that includes knowing when he needs to tell his violins and trumpets to shut up. Robert Burks' cinematography is also strong with effective usage of shadows and streaks of light. Colors are omnipresent. And even though ""Dial M for Murder"" was shot with the intent to be seen in 3D, it is hardly evident. When I first saw the film, in much superior 2D, I did not mind the lamps and such in the foreground, such as when one bisects the screen between Ray Milland and Anthony Dawson during the opening sequence. I just thought it was a clever piece of filmmaking and misc en scene, not a cheap gimmick like in most 3D movies today. ""Dial M for Murder"" is a near-perfect movie of its kind, pumped full of smart dialogue and dazzling energy. This is one of the few play-to-movie transition that I have seen where I have suddenly become eager to see the original stage production.","Ray Milland,Grace Kelly,Robert Cummings","$1,400,000 (estimated)"
"Lock, Stock and Two Smoking Barrels","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",Guy Ritchie,66,640,The film was dedicated to ,,"Guy Ritchie's hip, highly stylized 'Lock, Stock and Two Smoking Barrels' is a truly remarkable film, not only for its appropriately pyrotechnic camera work, but also for its seemingly flawless, puzzle-perfect script/screenplay. While the picture's main focus is on a group of lads who invest money in a high-stakes, rigged card game and lose, the broader story concerns approximately eight different groups of criminals whose paths cross (more> than once, in some cases) during various illegal pursuits: money, guns, drugs, even revenge. The film is quite violent, both on and off screen, but it's also uniformly humorous throughout. It's important to note that the four central characters (a cook, a card sharp, and a couple of guys who sell ""discounted"" items) are interested only in acquiring the money to pay off their enormous debt; they kill no one. The same applies to the laid-back college boys who ""grow copious amounts of ganja""., The cast is comprised of mostly young, veteran, male actors. In fact, the only female in the film doesn't even speak, though she handles a machine gun fairly well. Sting appears briefly in several scenes as a bar-owning father figure. While his secondary performance is solid, as usual, it is also unmemorable. The soundtrack is first-rate, from the 60's hits of James Brown to the contemporary beats of London's underground. The groovy, pulsating music and lyrics are often succinctly synchronized with the action and dialogue in the film, creating a theatrical rhythm that is fairly uncommon in cinema (from any period)., Critics and audiences over the years have often dismissed stylized camera work as pretentious and unnecessary, stating that it detracts from the story, bogs it down, or pads it; however, the film medium has the luxury of actually ""displaying"" a story for its audience, unlike the written word alone. It's what the medium is all about -- it's VISUAL. Hence, one of the reasons a filmmaker chooses such visual displays is to ""brand"" his or her work, in the same way as writers like Cummings, Hemingway or Joyce did with their medium. It's hard to imagine a cinema without Hitchcock, Kubrick, or Scorsese to represent it. To this end, Ritchie has taken his first step in establishing his own brand. His energetic, ultra-contemporary camera work incorporates (through a fresh perspective) such devices as slow motion, fast motion, and freeze-frame coupled with narration. It is at times reminiscent of (and actually expands upon) Martin Scorsese's patented visual stylistics and camera movements, like those found in 'Mean Streets' and 'Goodfellas'. But the similarities with Scorsese's work end there., Critics' endless comparisons of Ritchie's film with the works of Quentin Tarantino and Danny Boyle's 'Trainspotting' stand mostly unwarranted, as these comparisons take away from the inventiveness and originality of 'Lock, Stock and Two Smoking Barrels'. Ritchie's film is a much more involved, complex, layered work than the aforementioned comparisons. While Tarantino's films are very strong on dialogue, screenplay, and editing, they often lack creative camera work and direction. Boyle's 'Trainspotting' does have a resembling ""feel"" to 'LS&TSB', but aside from its Great Britain origins, there really is no need for comparison. 'Lock, Stock and Two Smoking Barrels' is essential viewing.","Jason Flemyng,Dexter Fletcher,Nick Moran","£960,000 (estimated)"
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,94,1.1K,According to director ,,"I've noticed a plethora of negative reviews all saying the same thing- their kids did not enjoy/ understand the movie and it was too dark. Yet they also say that the movie was well made and had an excellent concept. My question to these people is this- If you wanted to see a happy meaningless movie with adult toilet humour, why didn't you take your kids to see Minions? Inside out is for those who like quality cinema, to be entertained as well as taught challenging concepts. It is an artistic film. Why do you people always have to assume that all animated films have to be for kids and filled with stupid toilet humour? This is Pixar we are talking about, those who have created Wall-E and Up. Review this movie on its own merits, rather than be biased in your judgement that the film was too dark and confusing for kids. It was never marketed as a film for toddlers and little kids. I went with my brother who is in high school and it was one of the best experiences we had in the cinema in a very long time. Kudos to Pixar; it was truly an amazing, advanced conceptual, artistic film.","Amy Poehler,Bill Hader,Lewis Black","$175,000,000 (estimated)"
V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,62,2.4K,"The domino scene, where V (Hugo Weaving) tips over black and red dominoes to form a giant letter V, involved 22,000 dominoes. It took four professional domino assemblers 200 hours to set it up.",,"Some of the action might be a bit choppy, but V for Vendetta is extremely entertaining. Its great visual effects and Hugo Weaving's iconic portrayal of ""V"" is more than enough to satisfy even the strictest of viewers. There is also a great message about rising up against political propaganda within its great style and environment. Another great film from the Wachowski's is now on your hands.","Hugo Weaving,Natalie Portman,Rupert Graves","$54,000,000 (estimated)"
Gone with the Wind,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,Victor Fleming,97,972,The fact that ,,"Margaret Mitchell's Gone with the Wind, in its true essence, is a case study on the Old American way of living where pride and honor were the very essence of human existence. Victor Fleming's rendition of the classic novel, a classic within its own right, does full justice to the themes propagated by Mitchell's evocative masterpiece. In the words of Mitchell herself, Gone with the Wind is the story of the people whose gift of gumption gave them a definitive edge to endure the tribulation and throes of the American Civil War vis-à-vis those who lacked an inner resolve and determination needed for survival.,Scarlet O'Hara, the well bred, haughty, tempestuous and opportunistic protagonist of the saga, is an ostensibly flawed individual whose inexorable urge to placate her ego and realize her fancies appears far stronger than her adherence to any credence pious to her people and relevant to her time. Her scintillating charm and unrestrained zeal not only make her an object of desire for her male counterparts but also an object of envy for the girls around her.,Vivian Leigh perfectly fits into the caricature of Scarlet O'Hara. She makes full use of her talent, courage and guile to portray a part that requires subtlety, brusqueness and poise in equal parts. It may sound like a hyperbole, but no other actress seemed better equipped to play the part a southern belle than Leigh herself, who won not one but two Oscars while playing one: first for her portrayal of Scarlet O'Hara and second for portraying Blanche DuBois in A Streetcar Named Desire opposite Marlon Brando. In fact, her portrayal of Scarlet O'Hara, in which she perfectly blends panache, poignancy and peremptoriness, is arguably the greatest portrayal by a female lead in cinematic history. Leigh uses her on-stage experience to improvise in order to add new dimensions and complexities to Scarlet's caricature, which according to the novel was mostly one dimensional: out-and-out bad. Scarlet's stubbornness and her impish obsession for a conformist like Ashley, who is not only indifferent to her feelings but also incapable of reciprocating the passion and zeal with which she pursues him, represent just one dimension of her multifaceted self, which is revealed layer by layer with the progression of the narrative. The viewer is gifted to see Scarlet in various avatars: a usurper, an egomaniac, a damsel, a nemesis, a menace, a guardian, a savior, a patriot, a fighter and most importantly as a quintessence of womanhood.,Clark Gable as Rhett Butler perfectly complements Vivian Leigh's larger than life portrayal. He is an outright reprobate, an unscrupulous opportunist whose life revolves around making money and pursuing carnal pleasures. However, behind this facade, just like Scarlet, there is a human capable of love, and worthy of being loved. These unobtrusive yet obvious similarities make Scarlet and Rhett a perfect match for each other. The subtle chemistry and tension between the two protagonists give the story its impetus and resonant charm. The rest of the cast has given exemplary performances with a special mention of Olivia de Havilland, who as Melanie is a paragon of love, humility and forgiveness. She provides a striking contrast to Scarlet's caricature and represents a more traditional picture of womanhood.,The movie's direction, cinematography, editing and music are all top notch and it is the great synergy of all these elements that makes the movie an extravaganza and an undisputed master piece, one to be savored till eternity. The movie is an amalgam of scenes, high on emotion and drama, which keeps the viewer absorbed throughout. The scene in which Scarlet's father tells her the importance of mother land, deeming it as the only thing worth fighting for, is pure gold. Other scenes that come close to matching its brilliance include the one in which Scarlet performs the duties of an obstetrician to help Melanie give birth to her child, and the one in which Scarlet pledges to protect Tara till her last breath. The movie also has an amazing repertoire of dialogs that are delivered with a nice mix of finesse and accuracy. Butler's famous dialog in which he says to Scarlet, ""You should be kissed and often, and by someone who knows how,"" also happens to be one of all time favorite. ,The movie, especially its anti-climatic ending, brings tears to eyes and leaves the viewer overwhelmed as he experiences a rainbow of different emotions, being awestruck by the tremendous impact of the journey that he is vicariously made to undergo.,PS. Gone with the Wind is undoubtedly one of cinema's greatest marvels and is a living testament to cinema's timelessness, and its limitless potential. A must watch for everyone. 10/10,http://www.apotpourriofvestiges.com/","Clark Gable,Vivien Leigh,Thomas Mitchell","$3,977,000 (estimated)"
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,89,663,"We've rounded up some of the best biopic transformations, including ",,"""Raging Bull"" isn't the average, stereotypical underdog boxing movie, because it isn't really about boxing at all. Like most great movies, its focus is much deeper. It came out in 1980, earned Robert De Niro a Best Actor Academy Award, and was marked down as another solid triumph by director Martin Scorsese, whose previous 1976 outing with De Niro earned them both critical acclaim (and for De Niro, an Oscar nomination, although he would actually earn an Oscar for ""Raging Bull"" four years later).,It dwindled in production hell for quite some time, with Scorsese's drug use halting production and only the duo's strong willpower that kept the project moving ahead. It was after De Niro read boxer Jake LaMotta's memoirs that he knew he wanted to make the film, so Scorsese and De Niro turned to Paul Schrader for a script. Schrader, who had previously written ""Taxi Driver"" (1976), agreed, and wrote the screenplay for them. The rest is history.,""Raging Bull"" has often been regarded as the greatest film of the 80s. To be honest, I'm not so sure about that, since various genres offer different feelings and emotions (comparing this to a comedy might seem rather silly). But to say it is one of the most powerful films of all time would be no gross overstatement -- it is superb film-making at its finest.,De Niro gained 60 pounds to play LaMotta, which was an all-time record at the time (later beaten by Vincent D'Onofrio, who gained 70 pounds for Stanley Kubrick's ""Full Metal Jacket""). His physical transformation is on-par with any great screen makeover, especially the most recent, ranging from Willem Dafoe in ""Shadow of the Vampire"" to Charlize Theron in ""Monster."" In addition, co-star Joe Pesci also lost weight for his role of Joey, LaMotta's short, eccentric brother. The greatest scene in the film is when LaMotta accuses his brother of having an affair with his wife. The tension is raw, the dialogue amazing, and the overall intensity electrifying.,The film is most often compared to ""Rocky,"" more than any other, apparently because they both concern a certain level of boxing. As much as I absolutely adore ""Rocky,"" ""Raging Bull"" is a deeper, more realistic film. But whereas ""Raging Bull"" is raw, ""Rocky"" is inspiring, and that is one of the reasons I do not think these two very different motion pictures deserve comparison, for the simple fact that they are entirely separate from one another. The only connecting thread is the apparently central theme of boxing, which is used as a theme in ""Rocky,"" and a backdrop in ""Raging Bull."" They're entirely different motion pictures -- one uplifting, the other somewhat depressing -- and the people who try to decide which is better need to seriously re-evaluate their reasons for doing so. They both succeed splendidly well at what they are trying to do, and that's all I have to say about their so-called connection.,De Niro, who could justifiably be called the greatest actor of all time, is at the top of his game here. In ""Taxi Driver"" he displayed a top-notch performance. He wasn't just playing Travis Bickle -- he was Travis Bickle. And here he is Jake LaMotta, the infamous boxer known for his abusive life style and somewhat paranoid delusions during his reign as world middleweight boxing champion, 1949 - 1951. Throughout the film, he beats his wife (played expertly and convincingly by the 19-year-old Cathy Moriarty), convinced that she is cheating on him, and that is more or less what the film is truly about. The boxing is just what he does for a living, and could be considered as a way to release some of his deeper, harbored anger.,LaMotta has a close relationship with Joey, his brother, and their interaction is often what elevates the film above others of its genre. The dialogue is great, close to the perfection of Quentin Tarantino's ""Pulp Fiction,"" rich in that rapid-fire filthy language and brutal insults. Pesci, who was on the verge of quitting showbiz at the time of pre-production, was spotted by De Niro in a cheap B-movie named ""The Death Collector"" (1975), a.k.a. ""Family Business,"" a truly horrid film that nevertheless showcased an early sign of things to come for Pesci. De Niro wanted him for the movie and his premonition was either very lucky or very wise -- this is one of the best performances of Pesci's entire career.,Scorsese shot the film in muted black and white, portraying a certain era of depression and misery. To make the blood show up on screen during the occasional fight scenes, Scorsese used Hershey's Syrup -- which is an interesting tidbit of trivia for any aspiring film-making planning on filming a violent movie in black and white. But how often does that happen?,This is certainly one of the most intense films Scorsese has directed, and one of the most important of his career. Along with ""Taxi Driver,"" it is an iconic motion picture that will stand the test of time for years and years to come. ,Scorsese and De Niro's partnership over the years has resulted in some of the most influential and utterly amazing motion pictures of all time: ""Mean Streets,"" ""Taxi Driver,"" ""The King of Comedy,"" ""Goodfellas"" and ""Casino"" come to mind almost instantly. But perhaps the one single title that will be remembered as their most daring effort is ""Raging Bull,"" a motion picture so utterly exhilarating that it defies description. It is simply a masterpiece for the mind and senses, leaving you knocked out cold after its brutal one-two punch. If I had to assemble a list of required viewing, this would be up there towards the top.","Robert De Niro,Cathy Moriarty,Joe Pesci","$18,000,000 (estimated)"
Chinatown,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,92,610,"At the time of filming, ",,"There is a word, impossible to spell, that describes the alignment of solar bodies like the planets when they all fall into place together. A similar word would describe this film. Everything about it is right. Polanski never directed a better movie. The performers, down to the lowest atmosphere person, are superb. The editing, the score, the sound, the decor, the dialog, all are just about flawless. The photography is peerless. The white garden apartments, the terra cotta roof tiles, the palms and desert sand are all painted with a faint gold, faintly ripe with false promise, like the oranges that bounce from Gittes' desperately speeding car in the northwest Valley. ,Polanski deserves much of the credit. When Gittes surprises Evelyn Mulwray in her car, after he follows her to her daughter's house, her face slumps forward and beeps the horn briefly. Then, so faintly, we hear a few dogs bark in the background. Not only is the scene itself exquisitely done but it prefigures the ending, as does Gittes' remark earlier to Evelyn that she has a flaw in her iris. The movie is too good to deserve much dissecting. It stands repeated watching. If there is anything wrong with it, it is the serious and tragic ending that Polanski always insists on tacking on. Robert Towne was right and Polanski wrong in this case. Everything came together on this film. It's not only the best detective movie ever made; it's one of the best movies ever made -- period. A marvelous job by everyone concerned.,I have to add (6/27/05) that the word I mentioned in the first sentence is spelled ""syzygy."" Man, did I get enlightening email on that. I might as well add two other impressive features of this movie. (1) Polanksi takes his time. Example: Gittes sneaks into Hollis Mulwray's office and begins to go through the drawers of his old-fashioned wooden desk. As he slides each drawer out, Polanksi gives us a shot of their humdrum contents (checkbooks, magnifying glass, and so forth) and we can almost smell the heat and the odor of shellac and sawdust emanating from the wooden containers. The contents reveal nothing of importance in this case. But (2) sometimes irrelevant information crops up that resonates later in the film with its own echo. The detail might be just a word (""applecore"") or an ordinary object (a pair of spectacles found in a pond, immediately after Gittes imitates the Japanese gardener's remark that the water is bad for the ""glass."") Some of the references may be so consistent as to constitute a theme (water). None of this hits you over the head with its significance. It's all very neatly stitched together.","Jack Nicholson,Faye Dunaway,John Huston","$6,000,000 (estimated)"
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,78,471,This movie was executive produced by ,,"If one was to turn on David Lynch's The Elephant Man midway through, without knowing what it was, one might be startled at the appearance of the main character. One might even be tempted to make fun of the character. But if one was to watch the film from the beginning, one's sympathy with John Merrick (John Hurt), 'The Elephant Man,' would be strong enough to deny that the former situation was ever a possibility. Lynch does not allow his audience to glimpse Merrick sans mask until his appearance has been built up substantially. When we the audience are at our zenith of anticipation, we see him-no dramatic music, no slow motion; a simple cut and he's there. There he is. And it's no big deal. ,This is the beauty of Lynch's direction. We are led through our morbid curiosity at the same rate the characters in the film are. We develop alongside them. More specifically, we develop alongside Frederick Treeves, played with an astounding sublimity of emotion by Anthony Hopkins. Next to Treeves we pity Merrick, respect him, pity him again, and then ask ourselves with him, 'is he just a spectacle to me? Am I a bad person?',Lynch certainly doesn't let us bypass this question easily. Are we bad people for being intrigued or are we good people for pitying? Certainly there is a mix of intrigue and pity with every character who first meets John, and we are not excluded. However, as with almost every character who truly comes to know John and confer with him, we learn to respect him as a human being and not as a spectacle. Nonetheless, this issue never finds close in the film, nor do I feel it ever can be closed in actual life. Hopkin's Treeves is never fully sated in how he feels about this dilemma, and so, neither can we be.,Technically, The Elephant Man is a beautifully shot film. In crisp black and white, the film recalls the cinematic technique of American cinema circa the 1930's. The scenes dissolve into one another; there is no brisk editing. The lighting is kept low-key during dark scenes, balanced during daytime scenes-this is standard film-making of the era. The one digression from this form are the distinctly Lynchian surrealities-pseudo-dream-sequences of commendably original imagery that break up the film and serve as distinct mood-setters for the audience. These are, for the most part, fairly intimidating sidenotes. We as an audience are caught off-guard because in these tangents we are not identifying with Treeves, we are put instead into Merrick's shoes. It is unsettling.,But Lynch has never been a director to flinch at unsettling prospects. We must watch Merrick beaten, abused, harassed, humiliated, and tormented. We may feel a surge of happiness when he finally stands up for himself, but by that point we still have to cope with what we've already, what he's already, experienced. I suppose that is the greatest and most devastating aspect of the film-empathy. Every moment is heartbreaking. Yet no matter how hard it gets, and how much better it then turns, there is always the threat of another jab. And those jabs only get more and more painful.,The Elephant Man is a perfect film. It is sorrowful but it apologizes not at all for it. It is a film about where our empathy stems from, a film that asks you to feel sorry but rebukes you for your blind pity. It asks you to respect Merrick, not cry for him. But you can't help crying. The Elephant Man is a film that treks you through despair and asks for your hope in the end. It asks you to hate humanity but to love the humane. It asks you to look at a man who appears sad and know that inside, he's okay.","Anthony Hopkins,John Hurt,Anne Bancroft","$5,000,000 (estimated)"
